rank,grid_id,district,neighborhood,cdri,grade_raw,grade_final,grade_code,grade_name,in_robust_core,hazard_contribution,exposure_contribution,vulnerability_contribution,capacity_deficit_contribution,primary_cause,confidence_grade,trigger,action_timing,recommended_action,owner_department,required_resource,cost_band,kpi,human_approval_required,pop_total,elderly_estimate,shelter_dist_m,pump_dist_m,forecast_issued_at,forecast_valid_to,evidence_run_id
1,라마982027,의창구,북면,1.0,5,5,R5,R5 최우선 대응,0,0.178,0.3317,0.2834,0.2069,D,B,기상청 호우주의보 (3시간 60mm 또는 12시간 110mm 예상) → 기상청 호우경보 (3시간 90mm 또는 12시간 180mm 예상),우기 전 상시 + 호우주의보 발효 시,반경 2km 내 임시 대피장소 추가 지정과 방재기관 접근로 사전 점검,창원시 재난안전대책본부,기존 시설 협약 (학교·경로당 등),기존 인력,"신규 지정 대피장소 수, 최근접 대피장소까지 거리 단축량",통제·대피 결정은 법적 권한자가 공식 예보·현장확인 후 판단,273,124.0,1759.0,7211.0,,,20260908T083531Z-e67551b-a1857c5e
2,마라095835,진해구,덕산동,0.9818,5,5,R5,R5 최우선 대응,1,0.2624,0.4006,0.1918,0.1452,E,B,기상청 호우주의보 (3시간 60mm 또는 12시간 110mm 예상) → 기상청 호우경보 (3시간 90mm 또는 12시간 180mm 예상),우기 전 상시 + 호우주의보 발효 시,호우경보 시 지하공간·지하차도 출입통제와 도로 우회 안내를 우선 적용할 구간으로 지정,창원시 재난안전대책본부 (구청 안전건설과 협조),기존 통제 인력 + 안내표지,기존 인력,"통제 선행시간(경보 발효 후 통제까지), 침수 도로 고립 신고 건수",통제·대피 결정은 법적 권한자가 공식 예보·현장확인 후 판단,426,130.0,1072.0,893.0,,,20260908T083531Z-e67551b-a1857c5e
3,라라912924,마산회원구,내서읍,0.9678,5,5,R5,R5 최우선 대응,1,0.1663,0.3718,0.3718,0.0901,V,B,기상청 호우주의보 (3시간 60mm 또는 12시간 110mm 예상) → 기상청 호우경보 (3시간 90mm 또는 12시간 180mm 예상),우기 전 상시 + 호우주의보 발효 시,고령가구 사전 연락 명단을 갱신하고 호우주의보 시 1차 연락 대상으로 지정,행정복지센터·복지정책과,기존 방문건강관리 인력,기존 인력,"주의보 발효 후 연락 완료율, 대피 지원 요청 처리시간",통제·대피 결정은 법적 권한자가 공식 예보·현장확인 후 판단,373,373.0,315.0,5356.0,,,20260908T083531Z-e67551b-a1857c5e
4,라라987907,마산합포구,합포동,0.958,5,5,R5,R5 최우선 대응,1,0.2566,0.4025,0.2198,0.1211,E,B,기상청 호우주의보 (3시간 60mm 또는 12시간 110mm 예상) → 기상청 호우경보 (3시간 90mm 또는 12시간 180mm 예상),우기 전 상시 + 호우주의보 발효 시,호우경보 시 지하공간·지하차도 출입통제와 도로 우회 안내를 우선 적용할 구간으로 지정,창원시 재난안전대책본부 (구청 안전건설과 협조),기존 통제 인력 + 안내표지,기존 인력,"통제 선행시간(경보 발효 후 통제까지), 침수 도로 고립 신고 건수",통제·대피 결정은 법적 권한자가 공식 예보·현장확인 후 판단,382,135.0,439.0,1124.0,,,20260908T083531Z-e67551b-a1857c5e
5,라라975917,마산회원구,회원1동,0.9538,5,5,R5,R5 최우선 대응,1,0.2683,0.3835,0.2669,0.0814,H,B,기상청 호우주의보 (3시간 60mm 또는 12시간 110mm 예상) → 기상청 호우경보 (3시간 90mm 또는 12시간 180mm 예상),우기 전 상시 + 호우주의보 발효 시,"우기 전 빗물받이·측구 준설, 호우주의보 시 이동식 펌프·차수판 배치 지점으로 지정",창원시 하수도사업소 (해당 하수처리구역 관할),기존 준설 인력 + 이동식 펌프 1대,소규모 정비 (기존 정비사업 내 우선순위 조정),"우기 전 준설 완료율, 호우 후 해당 격자 침수신고 건수",통제·대피 결정은 법적 권한자가 공식 예보·현장확인 후 판단,376,173.0,398.0,2026.0,,,20260908T083531Z-e67551b-a1857c5e
6,마라096829,진해구,풍호동,0.9508,5,5,R5,R5 최우선 대응,1,0.2901,0.4018,0.1832,0.1249,H,B,기상청 호우주의보 (3시간 60mm 또는 12시간 110mm 예상) → 기상청 호우경보 (3시간 90mm 또는 12시간 180mm 예상),우기 전 상시 + 호우주의보 발효 시,"우기 전 빗물받이·측구 준설, 호우주의보 시 이동식 펌프·차수판 배치 지점으로 지정",창원시 하수도사업소 (해당 하수처리구역 관할),기존 준설 인력 + 이동식 펌프 1대,소규모 정비 (기존 정비사업 내 우선순위 조정),"우기 전 준설 완료율, 호우 후 해당 격자 침수신고 건수",통제·대피 결정은 법적 권한자가 공식 예보·현장확인 후 판단,390,113.0,718.0,495.0,,,20260908T083531Z-e67551b-a1857c5e
7,마라101837,진해구,덕산동,0.9406,5,5,R5,R5 최우선 대응,0,0.2425,0.3708,0.2466,0.1401,E,B,기상청 호우주의보 (3시간 60mm 또는 12시간 110mm 예상) → 기상청 호우경보 (3시간 90mm 또는 12시간 180mm 예상),우기 전 상시 + 호우주의보 발효 시,호우경보 시 지하공간·지하차도 출입통제와 도로 우회 안내를 우선 적용할 구간으로 지정,창원시 재난안전대책본부 (구청 안전건설과 협조),기존 통제 인력 + 안내표지,기존 인력,"통제 선행시간(경보 발효 후 통제까지), 침수 도로 고립 신고 건수",통제·대피 결정은 법적 권한자가 공식 예보·현장확인 후 판단,269,103.0,714.0,1391.0,,,20260908T083531Z-e67551b-a1857c5e
8,마라096912,성산구,가음정동,0.9353,5,5,R5,R5 최우선 대응,1,0.2505,0.4097,0.2176,0.1223,E,B,기상청 호우주의보 (3시간 60mm 또는 12시간 110mm 예상) → 기상청 호우경보 (3시간 90mm 또는 12시간 180mm 예상),우기 전 상시 + 호우주의보 발효 시,호우경보 시 지하공간·지하차도 출입통제와 도로 우회 안내를 우선 적용할 구간으로 지정,창원시 재난안전대책본부 (구청 안전건설과 협조),기존 통제 인력 + 안내표지,기존 인력,"통제 선행시간(경보 발효 후 통제까지), 침수 도로 고립 신고 건수",통제·대피 결정은 법적 권한자가 공식 예보·현장확인 후 판단,828,284.0,489.0,6309.0,,,20260908T083531Z-e67551b-a1857c5e
9,마라108851,진해구,자은동,0.9351,5,5,R5,R5 최우선 대응,0,0.2237,0.3954,0.2423,0.1386,E,B,기상청 호우주의보 (3시간 60mm 또는 12시간 110mm 예상) → 기상청 호우경보 (3시간 90mm 또는 12시간 180mm 예상),우기 전 상시 + 호우주의보 발효 시,호우경보 시 지하공간·지하차도 출입통제와 도로 우회 안내를 우선 적용할 구간으로 지정,창원시 재난안전대책본부 (구청 안전건설과 협조),기존 통제 인력 + 안내표지,기존 인력,"통제 선행시간(경보 발효 후 통제까지), 침수 도로 고립 신고 건수",통제·대피 결정은 법적 권한자가 공식 예보·현장확인 후 판단,319,120.0,167.0,2429.0,,,20260908T083531Z-e67551b-a1857c5e
10,마라110795,진해구,웅천동,0.9243,5,5,R5,R5 최우선 대응,0,0.1639,0.2838,0.2763,0.276,D,B,기상청 호우주의보 (3시간 60mm 또는 12시간 110mm 예상) → 기상청 호우경보 (3시간 90mm 또는 12시간 180mm 예상),우기 전 상시 + 호우주의보 발효 시,반경 2km 내 임시 대피장소 추가 지정과 방재기관 접근로 사전 점검,창원시 재난안전대책본부,기존 시설 협약 (학교·경로당 등),기존 인력,"신규 지정 대피장소 수, 최근접 대피장소까지 거리 단축량",통제·대피 결정은 법적 권한자가 공식 예보·현장확인 후 판단,345,142.0,963.0,3670.0,,,20260908T083531Z-e67551b-a1857c5e
